,OrderID,ClientName,MonthNum,Hour,Minute,Day,Prods,CliAvgSenti,SpAvgSenti,QtyOrdered,Sales
52,1053,Client1,1,17,2,1,"prod2,prod12,prod15",0.2,0.0,16,11300
53,1054,Client8,1,21,27,1,"prod5,prod10",0.2,0.4,11,10900
54,1055,Client5,1,6,55,1,"prod12,prod1,prod14",0.6,0.8,4,1300
55,1056,Client3,1,10,1,0,"prod5,prod13,prod4,prod6",0.6,0.6,28,14500
56,1057,Client8,1,13,32,2,"prod15,prod10",0.4,0.6,4,4000
57,1058,Client1,1,13,58,2,"prod11,prod14,prod1",0.4,0.4,15,6200
58,1059,Client8,1,7,9,2,"prod10,prod1,prod15,prod15",0.0,0.6,14,12200
59,1060,Client6,1,14,6,0,"prod13,prod13,prod13",0.4,0.6,16,3200
60,1061,Client4,1,13,17,5,"prod14,prod10,prod11",0.6,0.2,11,8500
61,1062,Client9,1,21,4,3,"prod7,prod15,prod13",0.4,0.6,13,11600
62,1063,Client0,1,18,21,3,"prod5,prod2,prod15,prod2",0.0,0.4,22,14400
63,1064,Client0,1,10,19,4,"prod3,prod9,prod15",0.4,0.8,22,11400
64,1065,Client0,1,11,57,1,"prod14,prod4,prod12",0.8,0.2,20,11700
65,1066,Client0,1,12,56,2,"prod10,prod2,prod3,prod11",0.4,0.6,16,8700
66,1067,Client9,1,19,53,3,"prod3,prod11,prod12",0.6,0.4,18,8700
67,1068,Client2,1,14,29,2,"prod12,prod5,prod6",0.8,0.6,10,7900
68,1069,Client4,1,14,33,0,"prod12,prod6,prod13",0.2,0.2,4,1400
69,1070,Client0,1,23,35,2,"prod10,prod7,prod14,prod12",0.6,0.4,25,7600
70,1071,Client0,1,14,6,0,"prod3,prod6,prod13",0.6,0.8,20,8500
71,1072,Client6,1,14,59,3,"prod4,prod14,prod12,prod6",0.8,0.8,14,5300
72,1073,Client5,1,12,13,5,"prod7,prod12,prod14",0.4,0.2,14,3500
73,1074,Client4,1,15,38,6,"prod3,prod12,prod12",0.4,0.8,6,2300
74,1075,Client6,1,11,5,5,"prod12,prod4,prod5",0.6,0.6,16,13200
75,1076,Client0,1,14,0,0,"prod10,prod1,prod1,prod12",0.4,0.4,27,16500
76,1077,Client3,1,9,9,6,"prod5,prod14,prod1,prod5",0.6,0.6,19,10500
77,1078,Client0,1,22,29,0,"prod2,prod2,prod9",0.2,0.8,16,3600
78,1079,Client0,1,9,20,1,"prod4,prod1,prod13,prod2",0.6,0.8,25,12500
79,1080,Client5,1,20,40,1,"prod10,prod2,prod12,prod1",1.0,0.6,26,13800
80,1081,Client8,1,10,29,5,"prod13,prod12,prod10",0.6,0.8,13,6200
81,1082,Client2,1,11,24,3,"prod12,prod5,prod15",0.4,0.8,9,8300
82,1083,Client0,1,0,3,3,"prod1,prod6,prod2,prod13",0.4,0.6,12,6600
83,1084,Client7,1,13,13,3,"prod12,prod2,prod14",0.6,0.6,15,3400
84,1085,Client6,1,13,47,6,"prod3,prod10,prod13",0.4,0.4,18,9300
85,1086,Client5,1,10,25,1,"prod14,prod3,prod4",0.2,0.6,18,8700
86,1087,Client0,1,22,50,5,"prod12,prod14,prod6",0.2,0.4,18,5600
87,1088,Client9,1,19,5,0,"prod10,prod15",0.4,0.4,2,2000
88,1089,Client1,1,8,23,2,"prod15,prod2,prod15,prod5",0.6,0.6,11,8200
89,1090,Client4,1,2,22,0,"prod12,prod1,prod14",0.4,0.2,14,3500
90,1091,Client8,1,6,31,1,"prod1,prod1,prod3,prod12",0.4,0.4,17,8200
91,1092,Client3,1,11,23,2,"prod9,prod1,prod15",0.8,0.8,22,18100
92,1093,Client0,1,13,33,1,"prod3,prod14,prod3",0.6,0.8,13,2700
93,1094,Client8,1,21,14,3,"prod12,prod6,prod8",0.8,0.8,16,5000
94,1095,Client1,1,16,27,0,"prod2,prod2,prod10",0.2,0.8,11,6000
95,1096,Client5,1,7,49,2,"prod3,prod5,prod1",0.6,0.6,9,6300
96,1097,Client8,1,11,42,4,"prod5,prod3,prod12,prod13",0.6,0.6,20,7200
97,1098,Client5,1,20,49,2,"prod10,prod12,prod9,prod13",0.4,0.6,20,5000
98,1099,Client0,1,17,28,3,"prod15,prod11,prod9,prod6",0.8,0.6,30,12900
99,1100,Client5,1,17,32,0,"prod7,prod15,prod13",0.2,0.8,19,12000
100,1101,Client4,1,18,12,1,"prod14,prod2,prod10",0.4,0.0,8,6100
101,1102,Client0,1,19,17,6,"prod12,prod3,prod6",0.6,0.8,12,6100
102,1103,Client0,1,16,48,4,"prod15,prod12,prod14,prod11",0.4,0.8,16,5400
103,1104,Client2,1,18,11,3,"prod15,prod2,prod3,prod1",0.6,0.4,13,8000
104,1105,Client2,1,16,35,1,"prod15,prod4",0.2,0.4,12,9800
105,1106,Client8,1,8,37,1,"prod3,prod11,prod2",0.2,0.6,20,10700
106,1107,Client5,1,12,33,4,"prod4,prod5",0.8,0.4,10,8900
107,1108,Client9,1,21,27,3,"prod15,prod11,prod6,prod2",0.2,0.4,15,8900
108,1109,Client2,1,22,47,5,"prod15,prod3,prod5,prod1",0.2,0.6,17,10200
109,1110,Client4,1,12,59,5,"prod15,prod2,prod2,prod2",0.8,0.4,21,11000
110,1111,Client2,1,17,34,3,"prod10,prod9,prod13,prod4",0.6,0.4,18,5700
111,1112,Client1,1,22,9,1,"prod6,prod12,prod2",1.0,0.4,5,2500
112,1113,Client2,1,10,41,3,"prod10,prod1,prod15,prod15",0.6,0.2,13,11800
113,1114,Client4,1,9,54,2,"prod1,prod1,prod3,prod13",0.4,0.6,29,12100
114,1115,Client1,1,22,30,2,"prod3,prod5,prod1",0.6,0.4,21,16300
115,1116,Client2,1,17,43,5,"prod1,prod2,prod5,prod4",0.0,0.4,26,19000
116,1117,Client9,1,9,54,5,"prod1,prod1,prod10,prod3",0.8,0.6,18,10900
117,1118,Client6,1,15,18,0,"prod1,prod15",0.4,0.8,11,10700
118,1119,Client0,1,10,47,3,"prod15,prod12,prod12,prod3",0.8,0.6,9,4000
119,1120,Client0,1,23,4,0,"prod13,prod12,prod15",0.4,0.6,19,14000
120,1121,Client6,1,10,39,2,"prod13,prod2,prod12",0.0,0.8,12,4900
121,1122,Client8,1,16,4,2,"prod12,prod3,prod1",0.4,0.6,13,5200
122,1123,Client2,1,11,43,0,"prod15,prod2,prod6,prod2",0.8,0.6,29,15600
123,1124,Client1,1,20,47,1,"prod12,prod10,prod7",0.4,0.0,5,3200
124,1125,Client2,1,11,29,0,"prod2,prod1,prod11",0.6,0.2,19,12200
125,1126,Client0,1,11,0,3,"prod1,prod7,prod12,prod9",0.6,0.8,19,6700
126,1127,Client2,1,16,38,1,"prod13,prod1,prod3",0.4,0.6,17,9000
127,1128,Client8,1,12,18,4,"prod12,prod11,prod13",1.0,0.6,15,6000
128,1129,Client0,1,22,25,3,"prod7,prod3,prod15",0.4,0.0,13,10300
129,1130,Client5,1,17,41,3,"prod4,prod15",0.2,0.4,10,9800
130,1131,Client2,1,13,6,2,"prod1,prod10",0.6,0.4,9,8700
131,1132,Client1,1,17,12,3,"prod12,prod12,prod2",0.2,0.2,12,5000
132,1133,Client3,1,17,39,2,"prod15,prod14,prod15,prod1",0.2,0.8,21,10800
133,1134,Client2,1,11,3,2,"prod2,prod1,prod14",0.4,0.4,13,4700
134,1135,Client6,1,20,29,0,"prod13,prod5,prod9",0.6,0.8,16,7300
135,1136,Client0,1,10,28,4,"prod2,prod1,prod1",0.4,0.2,5,3300
136,1137,Client0,1,11,32,1,"prod12,prod9,prod2",0.8,0.4,18,6100
137,1138,Client0,1,17,5,3,"prod1,prod15",0.4,0.8,9,8700
138,1139,Client2,1,22,11,2,"prod11,prod12,prod6",0.6,0.8,14,6400
139,1140,Client2,1,20,14,0,"prod12,prod5,prod10",0.4,0.6,18,16800
140,1141,Client9,1,0,5,1,"prod1,prod4",0.8,0.6,7,5500
141,1142,Client8,1,18,34,4,"prod14,prod12,prod11",0.6,0.8,11,4900
142,1143,Client8,1,16,48,6,"prod8,prod3,prod3",0.0,1.0,20,5900
143,1144,Client8,1,20,20,1,"prod7,prod10,prod8",0.6,0.6,18,10200
144,1145,Client0,1,22,26,2,"prod7,prod13,prod3",0.6,0.4,21,5300
145,1146,Client5,1,11,43,1,"prod15,prod13,prod9,prod1",0.6,0.8,30,10400
146,1147,Client0,1,1,53,1,"prod12,prod7,prod3",0.4,0.6,7,2300
147,1148,Client5,1,17,37,1,"prod5,prod12,prod2,prod5",0.4,0.6,17,11700
148,1149,Client4,1,14,15,5,"prod1,prod6,prod11,prod11",0.2,1.0,27,16300
149,1150,Client1,1,15,13,1,"prod1,prod1,prod3,prod3",0.6,0.2,15,5300
150,1151,Client0,1,10,17,5,"prod4,prod4",0.6,0.6,6,4800
151,1152,Client0,1,8,20,1,"prod10,prod9,prod1,prod9",0.6,0.6,16,5500
152,1153,Client0,1,15,40,3,"prod10,prod4",0.4,0.8,2,1800
153,1154,Client4,1,23,53,2,"prod3,prod12,prod2",0.2,0.6,12,5100
154,1155,Client8,1,7,56,4,"prod10,prod1,prod2,prod9",0.6,0.4,11,5800
155,1156,Client0,1,23,17,0,"prod2,prod4,prod12",0.6,0.8,7,4500
156,1157,Client1,1,8,5,5,"prod11,prod1,prod12",0.4,0.2,8,3700
157,1158,Client3,1,19,7,6,"prod14,prod8,prod15",0.6,0.8,14,7500
158,1159,Client0,1,7,53,6,"prod11,prod10,prod13",0.4,0.4,21,12600
159,1160,Client2,1,18,51,0,"prod15,prod15",0.4,0.6,9,9000
160,1161,Client6,1,18,3,6,"prod10,prod13,prod15,prod6",0.6,0.6,23,15400
161,1162,Client5,1,18,55,0,"prod11,prod12,prod3",0.8,0.8,21,7600
162,1163,Client8,1,15,40,3,"prod12,prod14,prod11",0.0,0.6,10,2300
163,1164,Client0,1,15,27,0,"prod3,prod9,prod14",0.4,0.2,11,1300
164,1165,Client8,1,12,33,3,"prod9,prod12,prod15",0.8,0.6,11,6500
165,1166,Client2,1,12,42,6,"prod6,prod1,prod2",0.4,0.6,10,6700
166,1167,Client2,1,20,7,3,"prod14,prod13,prod13",0.8,0.8,14,2700
167,1168,Client0,1,20,40,0,"prod13,prod1,prod2",0.8,0.4,10,5500
168,1169,Client8,1,14,24,2,"prod6,prod4,prod11",0.8,0.4,15,11200
169,1170,Client2,1,17,18,3,"prod1,prod12,prod1,prod7",0.4,0.6,19,8500
170,1171,Client1,1,14,6,6,"prod14,prod13,prod12",0.4,0.4,11,2700
171,1172,Client0,1,11,44,4,"prod15,prod1,prod12,prod4",0.6,0.4,16,9200
172,1173,Client2,1,21,20,4,"prod12,prod5,prod15",0.4,0.4,10,9200
173,1174,Client3,1,20,22,6,"prod12,prod10,prod15",0.2,0.4,6,5400
174,1175,Client8,1,15,48,0,"prod15,prod1,prod13,prod5",0.6,1.0,17,8200
175,1176,Client1,1,20,12,4,"prod14,prod6,prod11",0.8,0.6,13,7300
176,1177,Client4,1,19,48,5,"prod1,prod3,prod14,prod2",0.0,0.8,18,5000
177,1178,Client2,1,23,47,2,"prod12,prod12,prod15",0.6,0.6,17,12800
178,1179,Client0,1,10,57,3,"prod12,prod11,prod15",0.4,1.0,18,13800
179,1180,Client2,1,13,52,4,"prod5,prod13,prod12,prod13",0.8,0.2,18,6100
180,1181,Client6,1,21,48,2,"prod10,prod14,prod10,prod3",0.8,0.6,17,10300
181,1182,Client3,1,12,10,2,"prod7,prod14,prod2",0.4,0.8,9,3200
182,1183,Client2,1,10,25,1,"prod1,prod11,prod6,prod14",0.6,0.6,21,9700
183,1184,Client6,1,9,40,2,"prod2,prod10,prod15",0.6,0.4,22,21500
184,1185,Client0,1,10,26,0,"prod10,prod13,prod11,prod7",0.8,0.4,14,4600
185,1186,Client8,1,14,1,3,"prod3,prod6,prod3",0.6,0.8,8,3300
186,1187,Client8,1,21,23,4,"prod14,prod13,prod14",0.8,0.4,12,2200
187,1188,Client0,1,17,59,3,"prod12,prod1,prod1",0.6,0.8,10,6700
188,1189,Client2,1,11,8,1,"prod5,prod12,prod14,prod15",0.4,0.4,28,15000
189,1190,Client4,1,11,22,4,"prod10,prod7,prod9,prod12",1.0,0.6,24,7200
190,1191,Client3,1,23,5,0,"prod11,prod15,prod15",0.8,0.4,16,15600
191,1192,Client2,1,14,41,4,"prod13,prod9,prod3",0.4,0.4,3,600
192,1193,Client0,1,12,28,1,"prod9,prod10,prod13",0.6,0.2,10,4300
193,1194,Client9,1,1,54,3,"prod3,prod10,prod15",0.2,0.4,20,19300
194,1195,Client8,1,18,26,5,"prod15,prod9,prod2,prod11",0.2,0.2,8,4500
195,1196,Client3,1,17,16,6,"prod2,prod1,prod2",0.8,0.6,12,6400
196,1197,Client9,1,9,53,2,"prod7,prod14,prod2",0.8,0.2,6,2100
197,1198,Client8,1,15,22,2,"prod2,prod13,prod1",0.0,0.6,13,8400
198,1199,Client0,1,23,27,4,"prod5,prod1,prod3,prod12",0.2,0.8,33,16000
199,1200,Client0,1,22,55,5,"prod2,prod12,prod2",0.2,0.2,4,1900
200,1201,Client6,1,7,42,2,"prod12,prod1,prod1",0.4,0.2,13,8800
201,1202,Client9,1,14,57,0,"prod15,prod10",0.6,0.4,7,7000
202,1203,Client1,1,16,32,3,"prod3,prod10,prod1",0.8,1.0,5,4000
203,1204,Client3,1,23,55,5,"prod1,prod12,prod13,prod3",0.4,0.6,20,5500
204,1205,Client9,1,14,46,6,"prod13,prod2,prod12",0.0,0.6,10,4000
205,1206,Client1,1,16,36,3,"prod15,prod14,prod12,prod15",0.4,0.6,20,14000
206,1207,Client8,1,22,10,4,"prod14,prod13,prod8",0.6,0.2,10,1900
207,1208,Client1,1,17,21,5,"prod1,prod10",0.4,0.4,9,8700
208,1209,Client6,1,21,49,4,"prod14,prod14,prod1",0.2,0.2,16,7000
209,1210,Client8,1,16,8,1,"prod1,prod15",0.6,0.2,8,7700
210,1211,Client1,1,19,20,3,"prod5,prod2,prod10,prod13",0.8,0.8,9,5100
211,1212,Client8,1,14,47,2,"prod1,prod1,prod15,prod1",0.8,0.6,20,16100
212,1213,Client0,1,20,41,1,"prod13,prod3,prod15",0.4,0.6,6,3800
213,1214,Client2,1,9,25,5,"prod12,prod15,prod13",0.4,0.6,17,11600
214,1215,Client0,1,13,7,4,"prod6,prod14,prod4",0.4,0.4,8,5500
215,1216,Client3,1,7,53,2,"prod5,prod3,prod6,prod2",0.4,0.8,12,6100
216,1217,Client0,1,20,59,6,"prod11,prod10,prod5",0.2,0.4,5,4400
217,1218,Client2,1,18,14,0,"prod1,prod12,prod3,prod10",0.6,0.4,25,14500
218,1219,Client0,1,0,6,5,"prod1,prod13,prod1,prod1",0.8,0.8,6,3700
219,1220,Client1,1,11,41,2,"prod15,prod12,prod10,prod12",1.0,0.6,14,8000
220,1221,Client0,1,20,5,0,"prod14,prod14,prod10",0.4,0.2,10,5500
221,1222,Client2,1,15,6,4,"prod6,prod12,prod7",0.2,0.6,21,8600
222,1223,Client6,1,14,10,5,"prod2,prod12,prod3",0.2,0.6,16,5400
223,1224,Client0,1,12,31,5,"prod15,prod7,prod1,prod14",0.6,0.8,8,3800
224,1225,Client8,1,14,19,3,"prod14,prod13,prod2",0.6,0.4,19,6400
225,1226,Client0,1,16,1,1,"prod9,prod12,prod3",0.8,0.2,22,7500
226,1227,Client2,1,14,18,5,"prod1,prod1,prod1,prod5",0.6,0.4,9,7100
227,1228,Client0,1,20,54,2,"prod12,prod1,prod10",0.6,0.6,5,3800
228,1229,Client1,1,2,57,3,"prod12,prod10,prod11",0.6,0.4,12,11000
229,1230,Client5,1,11,9,2,"prod12,prod1,prod12",0.6,0.4,15,8400
230,1231,Client0,1,11,44,5,"prod13,prod2,prod1",0.2,0.6,12,6700
231,1232,Client8,1,12,23,2,"prod10,prod3,prod2,prod1",0.2,1.0,25,12200
232,1233,Client9,1,3,16,0,"prod2,prod13,prod1",0.4,0.6,12,7700
233,1234,Client3,1,10,35,6,"prod2,prod10,prod11",0.2,0.2,18,13500
234,1235,Client0,1,11,11,4,"prod1,prod13,prod5,prod15",0.2,0.4,28,18300
235,1236,Client8,1,20,45,3,"prod14,prod4,prod15",0.4,0.4,8,6700
236,1237,Client1,1,13,58,5,"prod3,prod12,prod15",0.4,0.2,19,12900
237,1238,Client0,1,14,19,6,"prod7,prod13,prod3",0.4,0.4,15,4000
238,1239,Client1,1,19,29,0,"prod13,prod9,prod11",0.2,0.2,15,5100
239,1240,Client2,1,10,37,1,"prod14,prod10,prod13",0.4,0.2,4,1500
240,1241,Client9,1,13,37,2,"prod15,prod12,prod10,prod10",0.8,0.2,21,16200
241,1242,Client6,1,17,26,4,"prod5,prod14,prod3,prod2",0.2,0.6,21,6100
242,1243,Client0,1,14,26,5,"prod5,prod14,prod15,prod15",1.0,0.6,18,17000
243,1244,Client0,1,18,33,1,"prod10,prod14,prod14,prod15",0.6,0.4,21,7500
244,1245,Client5,1,20,27,3,"prod1,prod15",0.6,0.8,11,10700
245,1246,Client8,1,10,47,5,"prod15,prod15",0.4,0.8,2,2000
246,1247,Client6,1,11,56,6,"prod1,prod14,prod1,prod10",0.6,0.2,18,12600
247,1248,Client8,1,11,2,3,"prod15,prod5",1.0,0.6,4,3700
248,1249,Client8,1,20,15,2,"prod10,prod13,prod15,prod15",0.4,0.6,22,17200
249,1250,Client9,1,21,47,5,"prod14,prod12,prod3",0.2,0.6,12,3600
250,1251,Client9,1,13,13,3,"prod2,prod13,prod7",0.6,0.6,8,2100
251,1252,Client9,1,11,39,0,"prod14,prod2,prod12",0.2,0.4,10,4400
252,1253,Client2,1,10,43,2,"prod12,prod5,prod2",0.8,0.6,20,13100
253,1254,Client6,1,0,58,1,"prod2,prod14,prod14",0.4,0.4,20,2400
254,1255,Client1,1,17,32,4,"prod12,prod12,prod1",0.4,0.6,11,6500
255,1256,Client0,1,13,9,6,"prod13,prod3,prod2",0.6,0.8,7,2800
256,1257,Client5,1,11,40,1,"prod9,prod1,prod8",0.4,0.6,15,8300
257,1258,Client5,1,18,44,4,"prod5,prod12,prod1,prod10",0.6,0.8,23,14500
258,1259,Client9,1,23,15,6,"prod10,prod4",1.0,0.6,6,5000
259,1260,Client8,1,11,23,6,"prod11,prod12,prod15",0.6,0.2,13,10800
260,1261,Client6,1,16,15,3,"prod6,prod11,prod11",0.2,0.4,21,12600
261,1262,Client3,1,9,34,2,"prod15,prod3,prod5,prod9",0.4,0.4,21,6800
262,1263,Client0,1,14,23,5,"prod11,prod6,prod3",0.6,0.2,12,5400
263,1264,Client0,1,20,7,3,"prod12,prod10,prod11",0.4,0.4,22,17400
264,1265,Client5,1,8,57,0,"prod5,prod14,prod2,prod1",0.6,1.0,26,10000
265,1266,Client0,1,6,59,6,"prod13,prod2,prod1",0.4,0.8,4,1900
266,1267,Client2,1,11,18,4,"prod10,prod10",0.4,0.6,4,4000
267,1268,Client6,1,10,20,0,"prod10,prod14,prod2,prod5",0.6,0.0,26,13500
268,1269,Client4,1,7,17,3,"prod2,prod5,prod13",0.8,0.6,16,7700
269,1270,Client8,1,23,25,4,"prod1,prod12,prod13,prod14",0.8,0.0,22,4800
270,1271,Client0,1,18,42,2,"prod7,prod15,prod4",0.6,0.6,18,16200
271,1272,Client0,1,18,38,2,"prod9,prod5,prod5",0.0,0.8,14,11800
272,1273,Client8,1,8,21,0,"prod4,prod2,prod10,prod15",0.2,0.4,13,9300
273,1274,Client8,1,14,0,2,"prod1,prod1,prod13,prod12",0.8,0.6,22,10300
274,1275,Client1,1,12,42,5,"prod11,prod1,prod13",1.0,0.8,14,4700
275,1276,Client2,1,7,55,3,"prod15,prod4",0.2,0.4,4,3400
276,1277,Client2,1,13,3,5,"prod10,prod5",0.2,0.4,12,10900
277,1278,Client0,1,10,23,2,"prod15,prod4",0.8,0.2,11,9000
278,1279,Client0,1,9,17,4,"prod2,prod10,prod13",0.6,0.4,5,2100
279,1280,Client8,1,12,57,4,"prod13,prod7,prod13",0.6,0.8,8,2800
280,1281,Client4,1,19,29,3,"prod15,prod7,prod13,prod12",0.6,0.6,15,5200
281,1282,Client9,1,18,47,3,"prod2,prod13,prod2",0.2,0.8,14,3700
282,1283,Client1,1,12,25,1,"prod6,prod6,prod1",0.2,0.4,12,8100
283,1284,Client4,1,21,57,2,"prod1,prod3,prod14,prod5",0.4,0.4,24,12000
284,1285,Client8,1,15,12,2,"prod15,prod4",0.2,0.8,6,5000
285,1286,Client4,1,19,57,2,"prod13,prod7,prod13",0.2,0.2,5,1200
286,1287,Client8,1,17,13,2,"prod14,prod2,prod1",1.0,0.4,12,7200
287,1288,Client8,1,23,15,3,"prod15,prod14,prod9,prod10",0.6,0.4,27,13500
288,1289,Client0,1,7,48,2,"prod2,prod13,prod3",0.6,0.6,13,3900
289,1290,Client9,1,15,33,5,"prod12,prod6,prod13",0.2,0.6,15,6800
290,1291,Client9,1,20,17,6,"prod14,prod14,prod1",0.8,0.6,3,900
291,1292,Client5,1,9,22,1,"prod3,prod14,prod14",0.4,0.4,14,1600
292,1293,Client1,1,10,47,0,"prod14,prod1,prod1",0.4,0.2,11,7100
293,1294,Client0,1,19,46,0,"prod13,prod2,prod14",0.6,0.6,12,3300
294,1295,Client8,1,20,4,1,"prod10,prod14,prod12,prod10",0.4,0.4,28,14200
295,1296,Client2,1,15,43,3,"prod12,prod10,prod13",0.6,0.6,20,13000
296,1297,Client5,1,9,10,2,"prod4,prod15",0.4,0.6,11,10800
297,1298,Client8,1,12,7,2,"prod11,prod2,prod12",0.8,0.6,4,2000
298,1299,Client1,1,13,23,0,"prod3,prod11,prod2",0.8,0.2,11,5400
299,1300,Client0,1,13,28,4,"prod3,prod5,prod14",0.0,0.2,8,3400
300,1301,Client0,1,2,55,1,"prod13,prod1,prod10",0.2,0.4,4,2600
301,1302,Client4,1,16,44,2,"prod10,prod3,prod2,prod9",0.4,0.8,25,9600
302,1303,Client9,1,21,47,4,"prod12,prod10,prod6",0.4,0.2,12,7800
303,1304,Client0,1,16,50,1,"prod1,prod6,prod15,prod12",0.8,0.2,18,11900
304,1305,Client2,1,13,8,3,"prod10,prod6,prod9,prod15",0.2,0.4,17,10700
305,1306,Client0,1,9,59,2,"prod1,prod4",0.4,0.6,6,4700
306,1307,Client6,1,23,27,2,"prod1,prod2,prod2,prod15",0.6,0.8,18,10700
307,1308,Client3,1,12,8,3,"prod15,prod14,prod14,prod1",0.2,0.4,24,4500
308,1309,Client0,1,14,6,3,"prod1,prod12,prod11,prod15",0.4,0.6,18,13100
309,1310,Client0,1,17,25,5,"prod6,prod14,prod11",0.2,0.0,14,6900
310,1311,Client8,1,11,22,2,"prod11,prod1,prod2",0.4,0.4,5,2800
311,1312,Client4,1,17,27,2,"prod15,prod5",0.6,0.4,5,4600
312,1313,Client2,1,21,4,6,"prod3,prod3,prod7",0.8,0.8,13,4700
313,1314,Client8,1,11,57,3,"prod10,prod15",0.8,0.4,10,10000
314,1315,Client0,1,23,58,1,"prod15,prod6,prod10,prod15",0.2,0.8,12,8800
315,1316,Client1,1,13,44,3,"prod12,prod1,prod15",0.6,0.6,19,16000
