,ProdName,ClientName,MonthNum,OrderID,OrderQty,OrderTotal,CliAvgSenti,SpAvgSenti,ProdPrice,Hour,Minute,Day
130,prod5,Client4,12,17432,14,12600,0.8,0.6,7200,19,59,2
131,prod15,Client4,12,17432,14,12600,0.8,0.6,5000,19,59,2
132,prod1,Client8,12,17433,10,8800,0.2,0.0,700,7,39,3
133,prod5,Client8,12,17433,10,8800,0.2,0.0,8100,7,39,3
134,prod12,Client8,12,17434,17,7400,0.4,0.6,400,16,9,1
135,prod2,Client8,12,17434,17,7400,0.4,0.6,5500,16,9,1
136,prod3,Client8,12,17434,17,7400,0.4,0.6,1500,16,9,1
137,prod2,Client1,12,17435,6,4900,0.4,0.6,500,19,24,2
138,prod4,Client1,12,17435,6,4900,0.4,0.6,2400,19,24,2
139,prod10,Client1,12,17435,6,4900,0.4,0.6,2000,19,24,2
140,prod12,Client0,12,17436,21,13100,0.6,0.6,400,16,38,1
141,prod2,Client0,12,17436,21,13100,0.6,0.6,5500,16,38,1
142,prod4,Client0,12,17436,21,13100,0.6,0.6,7200,16,38,1
143,prod2,Client8,12,17437,4,1100,1.0,0.2,500,9,47,0
144,prod9,Client8,12,17437,4,1100,1.0,0.2,200,9,47,0
145,prod12,Client8,12,17437,4,1100,1.0,0.2,400,9,47,0
146,prod12,Client2,12,17438,20,19400,0.2,0.6,400,18,4,4
147,prod15,Client2,12,17438,20,19400,0.2,0.6,11000,18,4,4
148,prod15,Client2,12,17438,20,19400,0.2,0.6,8000,18,4,4
149,prod4,Client2,12,17439,6,5800,0.2,0.6,800,19,57,4
150,prod10,Client2,12,17439,6,5800,0.2,0.6,5000,19,57,4
151,prod10,Client8,12,17440,7,5800,0.8,0.6,1000,22,22,4
152,prod4,Client8,12,17440,7,5800,0.8,0.6,4800,22,22,4
153,prod12,Client3,12,17441,17,13900,0.6,0.6,400,12,58,5
154,prod2,Client3,12,17441,17,13900,0.6,0.6,2500,12,58,5
155,prod10,Client3,12,17441,17,13900,0.6,0.6,11000,12,58,5
156,prod1,Client0,12,17442,25,19900,0.2,0.4,700,19,16,0
157,prod1,Client0,12,17442,25,19900,0.2,0.4,7000,19,16,0
158,prod1,Client0,12,17442,25,19900,0.2,0.4,4200,19,16,0
159,prod15,Client0,12,17442,25,19900,0.2,0.4,8000,19,16,0
160,prod4,Client1,12,17443,25,6200,0.2,0.6,800,8,6,6
161,prod7,Client1,12,17443,25,6200,0.2,0.6,4000,8,6,6
162,prod9,Client1,12,17443,25,6200,0.2,0.6,600,8,6,6
163,prod14,Client1,12,17443,25,6200,0.2,0.6,800,8,6,6
164,prod5,Client3,12,17444,18,11700,0.4,0.4,900,17,32,3
165,prod1,Client3,12,17444,18,11700,0.4,0.4,6300,17,32,3
166,prod15,Client3,12,17444,18,11700,0.4,0.4,1000,17,32,3
167,prod2,Client3,12,17444,18,11700,0.4,0.4,3500,17,32,3
168,prod12,Client4,12,17445,13,8200,0.8,1.0,400,11,13,5
169,prod12,Client4,12,17445,13,8200,0.8,1.0,2800,11,13,5
170,prod15,Client4,12,17445,13,8200,0.8,1.0,5000,11,13,5
171,prod1,Client1,12,17446,12,10600,0.4,0.4,700,20,44,4
172,prod5,Client1,12,17446,12,10600,0.4,0.4,9900,20,44,4
173,prod2,Client7,12,17447,11,9000,0.4,0.2,500,19,44,6
174,prod2,Client7,12,17447,11,9000,0.4,0.2,1500,19,44,6
175,prod15,Client7,12,17447,11,9000,0.4,0.2,7000,19,44,6
176,prod1,Client8,12,17448,8,3300,0.4,0.4,700,23,11,6
177,prod1,Client8,12,17448,8,3300,0.4,0.4,1400,23,11,6
178,prod7,Client8,12,17448,8,3300,0.4,0.4,400,23,11,6
179,prod13,Client8,12,17448,8,3300,0.4,0.4,800,23,11,6
180,prod11,Client0,12,17449,3,1400,0.6,0.4,600,9,42,4
181,prod3,Client0,12,17449,3,1400,0.6,0.4,300,9,42,4
182,prod2,Client0,12,17449,3,1400,0.6,0.4,500,9,42,4
183,prod7,Client4,12,17450,12,7800,0.6,0.6,400,20,57,0
184,prod1,Client4,12,17450,12,7800,0.6,0.6,5600,20,57,0
185,prod6,Client4,12,17450,12,7800,0.6,0.6,1800,20,57,0
186,prod5,Client0,12,17451,24,9800,0.4,0.6,900,9,0,4
187,prod2,Client0,12,17451,24,9800,0.4,0.6,3500,9,0,4
188,prod3,Client0,12,17451,24,9800,0.4,0.6,3000,9,0,4
189,prod12,Client0,12,17451,24,9800,0.4,0.6,2400,9,0,4
190,prod10,Client9,12,17452,21,12800,0.4,0.4,1000,12,54,2
191,prod1,Client9,12,17452,21,12800,0.4,0.4,7000,12,54,2
192,prod11,Client9,12,17452,21,12800,0.4,0.4,2400,12,54,2
193,prod12,Client9,12,17452,21,12800,0.4,0.4,2400,12,54,2
194,prod1,Client8,12,17453,6,5700,0.4,0.2,700,12,22,2
195,prod10,Client8,12,17453,6,5700,0.4,0.2,5000,12,22,2
196,prod12,Client0,12,17454,5,2600,0.4,0.4,400,21,53,2
197,prod12,Client0,12,17454,5,2600,0.4,0.4,800,21,53,2
198,prod1,Client0,12,17454,5,2600,0.4,0.4,1400,21,53,2
199,prod15,Client8,12,17455,24,17100,0.4,0.4,1000,12,16,3
200,prod1,Client8,12,17455,24,17100,0.4,0.4,5600,12,16,3
201,prod2,Client8,12,17455,24,17100,0.4,0.4,4500,12,16,3
202,prod15,Client8,12,17455,24,17100,0.4,0.4,6000,12,16,3
203,prod15,Client2,12,17456,22,13600,0.4,0.6,1000,9,6,1
204,prod1,Client2,12,17456,22,13600,0.4,0.6,5600,9,6,1
205,prod2,Client2,12,17456,22,13600,0.4,0.6,4000,9,6,1
206,prod6,Client2,12,17456,22,13600,0.4,0.6,3000,9,6,1
207,prod9,Client3,12,17457,7,4900,0.6,0.4,100,19,29,1
208,prod4,Client3,12,17457,7,4900,0.6,0.4,1600,19,29,1
209,prod4,Client3,12,17457,7,4900,0.6,0.4,3200,19,29,1
210,prod14,Client9,12,17458,14,3200,0.8,0.6,100,15,45,6
211,prod3,Client9,12,17458,14,3200,0.8,0.6,2700,15,45,6
212,prod14,Client9,12,17458,14,3200,0.8,0.6,400,15,45,6
213,prod1,Client0,12,17459,26,20300,0.4,0.4,700,21,3,0
214,prod14,Client0,12,17459,26,20300,0.4,0.4,600,21,3,0
215,prod10,Client0,12,17459,26,20300,0.4,0.4,9000,21,3,0
216,prod15,Client0,12,17459,26,20300,0.4,0.4,10000,21,3,0
217,prod10,Client9,12,17460,9,9000,0.6,0.0,1000,13,17,1
218,prod10,Client9,12,17460,9,9000,0.6,0.0,8000,13,17,1
219,prod15,Client2,12,17461,3,3000,0.8,0.4,1000,14,46,6
220,prod15,Client2,12,17461,3,3000,0.8,0.4,2000,14,46,6
221,prod13,Client4,12,17462,15,11800,0.6,0.4,200,11,59,6
222,prod10,Client4,12,17462,15,11800,0.6,0.4,6000,11,59,6
223,prod1,Client4,12,17462,15,11800,0.6,0.4,5600,11,59,6
224,prod10,Client2,12,17463,20,13300,0.4,0.2,1000,15,51,3
225,prod3,Client2,12,17463,20,13300,0.4,0.2,1800,15,51,3
226,prod5,Client2,12,17463,20,13300,0.4,0.2,6300,15,51,3
227,prod1,Client2,12,17463,20,13300,0.4,0.2,4200,15,51,3
228,prod3,Client0,12,17464,12,5600,0.4,0.4,300,9,2,5
229,prod4,Client0,12,17464,12,5600,0.4,0.4,4800,9,2,5
230,prod14,Client0,12,17464,12,5600,0.4,0.4,500,9,2,5
231,prod5,Client2,12,17465,7,5700,0.4,0.4,900,14,11,4
232,prod4,Client2,12,17465,7,5700,0.4,0.4,4800,14,11,4
233,prod15,Client4,12,17466,12,9800,0.6,0.6,1000,6,58,1
234,prod4,Client4,12,17466,12,9800,0.6,0.6,8800,6,58,1
235,prod7,Client0,12,17467,23,11400,0.6,0.6,400,12,55,4
236,prod3,Client0,12,17467,23,11400,0.6,0.6,3300,12,55,4
237,prod1,Client0,12,17467,23,11400,0.6,0.6,7700,12,55,4
238,prod2,Client9,12,17468,9,5200,0.6,0.6,500,12,4,2
239,prod11,Client9,12,17468,9,5200,0.6,0.6,4200,12,4,2
240,prod2,Client9,12,17468,9,5200,0.6,0.6,500,12,4,2
241,prod15,Client0,12,17469,20,13000,0.4,0.2,1000,16,47,0
242,prod7,Client0,12,17469,20,13000,0.4,0.2,400,16,47,0
243,prod1,Client0,12,17469,20,13000,0.4,0.2,5600,16,47,0
244,prod11,Client0,12,17469,20,13000,0.4,0.2,6000,16,47,0
245,prod1,Client0,12,17470,8,7000,0.8,0.8,700,13,40,5
246,prod5,Client0,12,17470,8,7000,0.8,0.8,6300,13,40,5
247,prod15,Client0,12,17471,2,2000,0.6,0.8,1000,11,12,4
248,prod15,Client0,12,17471,2,2000,0.6,0.8,1000,11,12,4
249,prod15,Client1,12,17472,13,6500,0.8,0.6,1000,17,23,1
250,prod12,Client1,12,17472,13,6500,0.8,0.6,800,17,23,1
251,prod13,Client1,12,17472,13,6500,0.8,0.6,200,17,23,1
252,prod2,Client1,12,17472,13,6500,0.8,0.6,4500,17,23,1
253,prod11,Client4,12,17473,7,5000,0.2,0.6,600,23,46,1
254,prod5,Client4,12,17473,7,5000,0.2,0.6,3600,23,46,1
255,prod7,Client4,12,17473,7,5000,0.2,0.6,800,23,46,1
256,prod15,Client2,12,17474,5,4200,0.4,0.4,1000,9,0,1
257,prod4,Client2,12,17474,5,4200,0.4,0.4,3200,9,0,1
258,prod5,Client4,12,17475,25,9500,0.2,0.4,900,17,12,5
259,prod2,Client4,12,17475,25,9500,0.2,0.4,5000,17,12,5
260,prod13,Client4,12,17475,25,9500,0.2,0.4,1200,17,12,5
261,prod3,Client4,12,17475,25,9500,0.2,0.4,2400,17,12,5
262,prod1,Client8,12,17476,9,4200,0.6,0.0,700,16,30,0
263,prod14,Client8,12,17476,9,4200,0.6,0.0,200,16,30,0
264,prod10,Client8,12,17476,9,4200,0.6,0.0,3000,16,30,0
265,prod14,Client8,12,17476,9,4200,0.6,0.0,300,16,30,0
266,prod8,Client5,12,17477,7,2000,0.6,0.6,200,13,46,4
267,prod4,Client5,12,17477,7,2000,0.6,0.6,800,13,46,4
268,prod13,Client5,12,17477,7,2000,0.6,0.6,1000,13,46,4
269,prod8,Client4,12,17478,5,2200,0.8,0.6,200,21,59,4
270,prod7,Client4,12,17478,5,2200,0.8,0.6,800,21,59,4
271,prod11,Client4,12,17478,5,2200,0.8,0.6,1200,21,59,4
272,prod15,Client8,12,17479,22,7900,0.6,0.8,1000,13,21,5
273,prod9,Client8,12,17479,22,7900,0.6,0.8,200,13,21,5
274,prod12,Client8,12,17479,22,7900,0.6,0.8,4000,13,21,5
275,prod3,Client8,12,17479,22,7900,0.6,0.8,2700,13,21,5
276,prod8,Client0,12,17480,19,15800,0.6,0.4,200,21,27,3
277,prod10,Client0,12,17480,19,15800,0.6,0.4,10000,21,27,3
278,prod1,Client0,12,17480,19,15800,0.6,0.4,5600,21,27,3
279,prod3,Client8,12,17481,6,5200,0.2,0.2,300,10,55,1
280,prod5,Client8,12,17481,6,5200,0.2,0.2,900,10,55,1
281,prod15,Client8,12,17481,6,5200,0.2,0.2,4000,10,55,1
282,prod15,Client0,12,17482,11,11000,0.0,0.2,1000,12,59,5
283,prod15,Client0,12,17482,11,11000,0.0,0.2,10000,12,59,5
284,prod5,Client3,12,17483,8,6200,0.8,0.4,900,21,38,4
285,prod14,Client3,12,17483,8,6200,0.8,0.4,100,21,38,4
286,prod11,Client3,12,17483,8,6200,0.8,0.4,1200,21,38,4
287,prod10,Client3,12,17483,8,6200,0.8,0.4,4000,21,38,4
288,prod3,Client1,12,17484,5,1300,0.8,0.4,300,7,44,1
289,prod1,Client1,12,17484,5,1300,0.8,0.4,700,7,44,1
290,prod9,Client1,12,17484,5,1300,0.8,0.4,300,7,44,1
291,prod6,Client8,12,17485,14,13600,0.4,0.2,600,15,39,1
292,prod15,Client8,12,17485,14,13600,0.4,0.2,3000,15,39,1
293,prod10,Client8,12,17485,14,13600,0.4,0.2,10000,15,39,1
294,prod14,Client0,12,17486,18,5200,0.8,0.4,100,14,57,0
295,prod3,Client0,12,17486,18,5200,0.8,0.4,2700,14,57,0
296,prod3,Client0,12,17486,18,5200,0.8,0.4,2400,14,57,0
297,prod1,Client9,12,17487,14,8200,0.4,0.2,700,9,44,1
298,prod6,Client9,12,17487,14,8200,0.4,0.2,3600,9,44,1
299,prod11,Client9,12,17487,14,8200,0.4,0.2,3600,9,44,1
300,prod3,Client9,12,17487,14,8200,0.4,0.2,300,9,44,1
301,prod14,Client1,12,17488,13,6700,0.8,0.4,100,18,35,5
302,prod2,Client1,12,17488,13,6700,0.8,0.4,4500,18,35,5
303,prod1,Client1,12,17488,13,6700,0.8,0.4,2100,18,35,5
304,prod1,Client8,12,17489,22,12900,0.2,0.6,700,11,56,3
305,prod2,Client8,12,17489,22,12900,0.2,0.6,2500,11,56,3
306,prod7,Client8,12,17489,22,12900,0.2,0.6,2000,11,56,3
307,prod1,Client8,12,17489,22,12900,0.2,0.6,7700,11,56,3
308,prod10,Client8,12,17490,9,9000,0.6,0.6,1000,3,41,6
309,prod15,Client8,12,17490,9,9000,0.6,0.6,8000,3,41,6
310,prod9,Client8,12,17491,21,11200,0.4,0.4,100,0,19,5
311,prod2,Client8,12,17491,21,11200,0.4,0.4,4500,0,19,5
312,prod11,Client8,12,17491,21,11200,0.4,0.4,6600,0,19,5
313,prod1,Client0,12,17492,5,4700,0.4,0.4,700,10,8,0
314,prod10,Client0,12,17492,5,4700,0.4,0.4,4000,10,8,0
315,prod14,Client2,12,17493,7,3900,0.4,0.2,100,18,51,1
316,prod1,Client2,12,17493,7,3900,0.4,0.2,2800,18,51,1
317,prod2,Client2,12,17493,7,3900,0.4,0.2,1000,18,51,1
318,prod8,Client9,12,17494,10,5700,0.4,0.4,200,20,20,2
319,prod3,Client9,12,17494,10,5700,0.4,0.4,600,20,20,2
320,prod1,Client9,12,17494,10,5700,0.4,0.4,4900,20,20,2
321,prod5,Client9,12,17495,22,11100,0.2,0.0,900,13,49,4
322,prod1,Client9,12,17495,22,11100,0.2,0.0,4200,13,49,4
323,prod9,Client9,12,17495,22,11100,0.2,0.0,1000,13,49,4
324,prod10,Client9,12,17495,22,11100,0.2,0.0,5000,13,49,4
325,prod5,Client8,12,17496,18,15900,0.4,0.6,900,5,7,4
326,prod6,Client8,12,17496,18,15900,0.4,0.6,3000,5,7,4
327,prod15,Client8,12,17496,18,15900,0.4,0.6,2000,5,7,4
328,prod15,Client8,12,17496,18,15900,0.4,0.6,10000,5,7,4
329,prod13,Client2,12,17497,5,2600,0.6,0.4,200,19,9,5
330,prod13,Client2,12,17497,5,2600,0.6,0.4,400,19,9,5
331,prod15,Client2,12,17497,5,2600,0.6,0.4,2000,19,9,5
332,prod5,Client0,12,17498,6,5900,0.6,0.4,900,22,48,1
333,prod15,Client0,12,17498,6,5900,0.6,0.4,5000,22,48,1
334,prod1,Client0,12,17499,5,4700,0.6,0.2,700,15,27,6
335,prod10,Client0,12,17499,5,4700,0.6,0.2,4000,15,27,6
336,prod9,Client0,12,17500,15,12300,0.6,0.2,100,21,15,6
337,prod7,Client0,12,17500,15,12300,0.6,0.2,1200,21,15,6
338,prod15,Client0,12,17500,15,12300,0.6,0.2,11000,21,15,6
339,prod10,Client5,12,17501,20,13900,0.4,0.6,1000,11,20,4
340,prod14,Client5,12,17501,20,13900,0.4,0.6,500,11,20,4
341,prod4,Client5,12,17501,20,13900,0.4,0.6,6400,11,20,4
342,prod10,Client5,12,17501,20,13900,0.4,0.6,6000,11,20,4
343,prod5,Client5,12,17502,13,6800,0.6,0.4,900,21,38,3
344,prod14,Client5,12,17502,13,6800,0.6,0.4,100,21,38,3
345,prod6,Client5,12,17502,13,6800,0.6,0.4,4200,21,38,3
346,prod7,Client5,12,17502,13,6800,0.6,0.4,1600,21,38,3
347,prod1,Client0,12,17503,2,1700,0.6,0.4,700,15,52,0
348,prod10,Client0,12,17503,2,1700,0.6,0.4,1000,15,52,0
349,prod14,Client1,12,17504,7,800,0.6,0.4,100,17,20,3
350,prod13,Client1,12,17504,7,800,0.6,0.4,200,17,20,3
351,prod9,Client1,12,17504,7,800,0.6,0.4,500,17,20,3
352,prod12,Client0,12,17505,16,11400,0.8,0.6,400,14,37,4
353,prod15,Client0,12,17505,16,11400,0.8,0.6,10000,14,37,4
354,prod13,Client0,12,17505,16,11400,0.8,0.6,1000,14,37,4
355,prod2,Client4,12,17506,18,15800,0.4,0.6,500,15,47,0
356,prod5,Client4,12,17506,18,15800,0.4,0.6,9000,15,47,0
357,prod5,Client4,12,17506,18,15800,0.4,0.6,6300,15,47,0
358,prod1,Client0,12,17507,16,9500,0.2,0.6,700,16,46,1
359,prod1,Client0,12,17507,16,9500,0.2,0.6,7000,16,46,1
360,prod3,Client0,12,17507,16,9500,0.2,0.6,600,16,46,1
361,prod12,Client0,12,17507,16,9500,0.2,0.6,1200,16,46,1
362,prod14,Client0,12,17508,12,10200,0.4,0.6,100,12,38,3
363,prod15,Client0,12,17508,12,10200,0.4,0.6,10000,12,38,3
364,prod9,Client0,12,17508,12,10200,0.4,0.6,100,12,38,3
365,prod1,Client3,12,17509,18,7400,0.6,0.6,700,1,9,3
366,prod6,Client3,12,17509,18,7400,0.6,0.6,600,1,9,3
367,prod15,Client3,12,17509,18,7400,0.6,0.6,5000,1,9,3
368,prod9,Client3,12,17509,18,7400,0.6,0.6,1100,1,9,3
369,prod12,Client1,12,17510,15,8400,0.6,0.4,400,21,53,1
370,prod10,Client1,12,17510,15,8400,0.6,0.4,4000,21,53,1
371,prod12,Client1,12,17510,15,8400,0.6,0.4,4000,21,53,1
372,prod7,Client5,12,17511,12,11100,0.4,0.6,400,21,38,3
373,prod5,Client5,12,17511,12,11100,0.4,0.6,2700,21,38,3
374,prod15,Client5,12,17511,12,11100,0.4,0.6,8000,21,38,3
375,prod14,Client0,12,17512,17,6300,0.4,0.4,100,15,3,0
376,prod2,Client0,12,17512,17,6300,0.4,0.4,5000,15,3,0
377,prod13,Client0,12,17512,17,6300,0.4,0.4,1200,15,3,0
