,ProdName,MonthNum,OrderID,OrderQty,OrderTotal,ClientName,ProdPrice,Hour,Minute,Day,CliSentiAvg,SpSentiAvg
35,prod2,12,17403,10,7300,Client0,2000,21,20,6,0.6,0.6
36,prod6,12,17403,10,7300,Client0,5400,21,20,6,1.0,0.6
37,prod1,12,17403,10,7300,Client0,6300,21,20,6,0.4,0.6
38,prod13,12,17404,1,200,Client9,200,19,35,5,0.4,0.6
39,prod3,12,17404,1,200,Client9,1500,19,35,5,0.6,0.4
40,prod13,12,17404,1,200,Client9,800,19,35,5,0.8,0.6
41,prod13,12,17405,12,4600,Client2,200,23,27,2,0.2,0.6
42,prod12,12,17405,12,4600,Client2,4400,23,27,2,0.2,0.6
43,prod15,12,17405,12,4600,Client2,10000,23,27,2,0.6,0.4
44,prod10,12,17406,1,1000,Client8,1000,13,34,1,0.2,0.2
45,prod1,12,17406,1,1000,Client8,2100,13,34,1,0.4,0.6
46,prod15,12,17406,1,1000,Client8,4000,13,34,1,0.2,0.4
47,prod13,12,17406,1,1000,Client8,800,13,34,1,0.6,0.4
48,prod2,12,17407,7,700,Client8,500,6,27,1,0.6,0.8
49,prod14,12,17407,7,700,Client8,400,6,27,1,0.4,0.8
50,prod9,12,17407,7,700,Client8,300,6,27,1,0.4,0.8
51,prod1,12,17408,2,400,Client4,700,14,28,2,0.6,0.4
52,prod12,12,17408,2,400,Client4,4000,14,28,2,0.6,0.6
53,prod13,12,17408,2,400,Client4,400,14,28,2,0.4,0.0
54,prod10,12,17408,2,400,Client4,9000,14,28,2,0.6,0.2
55,prod6,12,17409,1,600,Client7,600,23,23,0,0.2,0.4
56,prod7,12,17409,1,600,Client7,400,23,23,0,0.2,0.6
57,prod15,12,17409,1,600,Client7,11000,23,23,0,0.8,0.2
58,prod2,12,17410,1,500,Client4,500,16,22,2,0.4,0.4
59,prod14,12,17410,1,500,Client4,200,16,22,2,0.4,0.6
60,prod4,12,17410,1,500,Client4,8000,16,22,2,0.6,0.6
61,prod6,12,17411,5,3500,Client8,600,18,33,1,0.4,0.8
62,prod9,12,17411,5,3500,Client8,300,18,33,1,0.6,0.2
63,prod1,12,17411,5,3500,Client8,3500,18,33,1,0.4,0.6
64,prod11,12,17412,1,600,Client0,600,18,44,3,0.2,0.4
65,prod4,12,17412,1,600,Client0,2400,18,44,3,0.6,0.4
66,prod3,12,17412,1,600,Client0,300,18,44,3,0.4,0.6
67,prod2,12,17413,1,500,Client4,500,18,47,2,0.8,0.8
68,prod7,12,17413,1,500,Client4,3600,18,47,2,0.4,0.8
69,prod2,12,17413,1,500,Client4,500,18,47,2,0.2,0.6
70,prod15,12,17414,7,4200,Client0,1000,7,3,3,0.8,0.2
71,prod11,12,17414,7,4200,Client0,4200,7,3,3,0.2,0.6
72,prod15,12,17414,7,4200,Client0,10000,7,3,3,0.6,0.2
73,prod2,12,17414,7,4200,Client0,5500,7,3,3,0.8,0.4
74,prod12,12,17415,10,4000,Client0,400,11,27,1,0.8,0.2
75,prod9,12,17415,10,4000,Client0,600,11,27,1,0.8,0.4
76,prod12,12,17415,10,4000,Client0,4000,11,27,1,0.4,0.6
77,prod3,12,17416,1,600,Client6,300,8,19,6,0.8,0.6
78,prod6,12,17416,1,600,Client6,600,8,19,6,0.2,0.4
79,prod4,12,17416,1,600,Client6,3200,8,19,6,0.6,0.4
80,prod6,12,17417,7,3500,Client4,600,20,56,6,0.6,0.6
81,prod6,12,17417,7,3500,Client4,6600,20,56,6,0.6,0.8
82,prod2,12,17417,7,3500,Client4,3500,20,56,6,0.4,0.6
83,prod2,12,17418,1,900,Client6,500,22,5,1,0.6,0.4
84,prod5,12,17418,1,900,Client6,900,22,5,1,0.4,0.6
85,prod11,12,17418,1,900,Client6,2400,22,5,1,0.6,0.4
86,prod2,12,17419,7,1400,Client8,500,9,29,1,0.6,0.6
87,prod13,12,17419,7,1400,Client8,1400,9,29,1,0.4,0.2
88,prod3,12,17419,7,1400,Client8,3000,9,29,1,0.8,0.6
89,prod2,12,17420,1,500,Client8,500,17,6,3,0.2,0.2
90,prod11,12,17420,1,500,Client8,2400,17,6,3,0.6,0.4
91,prod8,12,17420,1,500,Client8,1000,17,6,3,0.4,0.4
92,prod1,12,17421,6,2400,Client3,700,13,3,2,0.4,0.0
93,prod12,12,17421,6,2400,Client3,2400,13,3,2,0.2,0.2
94,prod14,12,17421,6,2400,Client3,1000,13,3,2,1.0,0.4
95,prod14,12,17421,6,2400,Client3,500,13,3,2,0.4,0.2
96,prod10,12,17422,5,5000,Client0,1000,10,11,3,0.4,0.8
97,prod15,12,17422,5,5000,Client0,5000,10,11,3,0.0,0.8
98,prod1,12,17423,7,3500,Client2,700,15,9,1,1.0,0.6
99,prod11,12,17423,7,3500,Client2,6000,15,9,1,0.8,0.2
100,prod2,12,17423,7,3500,Client2,3500,15,9,1,0.2,0.2
101,prod9,12,17423,7,3500,Client2,800,15,9,1,0.8,1.0
102,prod5,12,17424,13,4900,Client2,900,17,8,3,0.8,0.8
103,prod12,12,17424,13,4900,Client2,800,17,8,3,0.8,0.6
104,prod9,12,17424,13,4900,Client2,700,17,8,3,0.4,0.6
105,prod1,12,17424,13,4900,Client2,4200,17,8,3,0.4,0.6
106,prod15,12,17425,4,3700,Client5,1000,5,31,1,0.6,0.8
107,prod5,12,17425,4,3700,Client5,2700,5,31,1,0.6,0.8
108,prod10,12,17426,9,900,Client8,1000,9,48,6,0.6,0.8
109,prod6,12,17426,9,900,Client8,4200,9,48,6,0.6,0.6
110,prod14,12,17426,9,900,Client8,900,9,48,6,0.4,0.4
111,prod5,12,17426,9,900,Client8,7200,9,48,6,0.8,0.0
112,prod3,12,17427,1,300,Client1,300,1,15,0,0.4,0.8
113,prod10,12,17427,1,300,Client1,3000,1,15,0,0.8,0.4
114,prod12,12,17427,1,300,Client1,4000,1,15,0,0.6,0.8
115,prod1,12,17428,5,1500,Client0,700,12,18,3,0.8,0.4
116,prod3,12,17428,5,1500,Client0,1500,12,18,3,0.2,0.2
117,prod4,12,17428,5,1500,Client0,4000,12,18,3,0.6,0.2
118,prod10,12,17428,5,1500,Client0,11000,12,18,3,0.2,0.4
119,prod15,12,17429,1,400,Client4,1000,21,9,0,0.6,0.2
120,prod13,12,17429,1,400,Client4,2000,21,9,0,0.6,0.6
121,prod12,12,17429,1,400,Client4,2800,21,9,0,0.4,0.2
122,prod12,12,17429,1,400,Client4,400,21,9,0,0.2,0.2
123,prod3,12,17430,10,1000,Client8,300,17,55,6,0.8,0.6
124,prod13,12,17430,10,1000,Client8,800,17,55,6,1.0,0.2
125,prod9,12,17430,10,1000,Client8,1000,17,55,6,0.2,0.4
126,prod9,12,17431,1,100,Client7,100,17,14,3,0.2,0.4
127,prod12,12,17431,1,100,Client7,1600,17,14,3,0.4,0.8
128,prod13,12,17431,1,100,Client7,1200,17,14,3,1.0,0.6
129,prod12,12,17432,1,400,Client4,400,19,59,2,0.4,0.6
130,prod5,12,17432,1,400,Client4,7200,19,59,2,0.6,1.0
131,prod15,12,17432,1,400,Client4,5000,19,59,2,0.8,0.2
132,prod1,12,17433,9,8100,Client8,700,7,39,3,0.6,0.4
133,prod5,12,17433,9,8100,Client8,8100,7,39,3,0.4,0.4
134,prod12,12,17434,11,5500,Client8,400,16,9,1,0.4,0.8
135,prod2,12,17434,11,5500,Client8,5500,16,9,1,0.4,0.6
136,prod3,12,17434,11,5500,Client8,1500,16,9,1,0.8,0.4
137,prod2,12,17435,3,2400,Client1,500,19,24,2,0.8,0.6
138,prod4,12,17435,3,2400,Client1,2400,19,24,2,0.2,0.6
139,prod10,12,17435,3,2400,Client1,2000,19,24,2,0.4,0.8
140,prod12,12,17436,11,5500,Client0,400,16,38,1,0.6,0.4
141,prod2,12,17436,11,5500,Client0,5500,16,38,1,0.4,0.6
142,prod4,12,17436,11,5500,Client0,7200,16,38,1,0.4,0.8
143,prod2,12,17437,2,200,Client8,500,9,47,0,0.6,0.8
144,prod9,12,17437,2,200,Client8,200,9,47,0,0.2,0.0
145,prod12,12,17437,2,200,Client8,400,9,47,0,0.8,0.6
146,prod12,12,17438,11,11000,Client2,400,18,4,4,0.8,0.6
147,prod15,12,17438,11,11000,Client2,11000,18,4,4,0.4,0.6
148,prod15,12,17438,11,11000,Client2,8000,18,4,4,0.6,0.6
149,prod4,12,17439,5,5000,Client2,800,19,57,4,0.6,0.2
150,prod10,12,17439,5,5000,Client2,5000,19,57,4,0.2,0.2
151,prod10,12,17440,1,1000,Client8,1000,22,22,4,0.4,0.0
152,prod4,12,17440,1,1000,Client8,4800,22,22,4,0.8,0.8
153,prod12,12,17441,5,2500,Client3,400,12,58,5,0.6,0.4
154,prod2,12,17441,5,2500,Client3,2500,12,58,5,0.4,0.4
155,prod10,12,17441,5,2500,Client3,11000,12,58,5,0.6,0.0
156,prod1,12,17442,10,7000,Client0,700,19,16,0,0.6,0.4
157,prod1,12,17442,10,7000,Client0,7000,19,16,0,0.2,0.8
158,prod1,12,17442,10,7000,Client0,4200,19,16,0,0.4,0.4
159,prod15,12,17442,10,7000,Client0,8000,19,16,0,0.6,0.6
160,prod4,12,17443,1,800,Client1,800,8,6,6,0.0,0.8
161,prod7,12,17443,1,800,Client1,4000,8,6,6,0.4,0.6
162,prod9,12,17443,1,800,Client1,600,8,6,6,0.6,0.6
163,prod14,12,17443,1,800,Client1,800,8,6,6,0.6,0.6
164,prod5,12,17444,9,6300,Client3,900,17,32,3,0.6,0.4
165,prod1,12,17444,9,6300,Client3,6300,17,32,3,0.4,0.2
166,prod15,12,17444,9,6300,Client3,1000,17,32,3,0.4,0.4
167,prod2,12,17444,9,6300,Client3,3500,17,32,3,0.4,1.0
168,prod12,12,17445,6,5400,Client4,400,11,13,5,0.6,0.4
169,prod12,12,17445,6,5400,Client4,2800,11,13,5,0.8,0.6
170,prod15,12,17445,6,5400,Client4,5000,11,13,5,0.6,0.4
171,prod1,12,17446,1,700,Client1,700,20,44,4,0.6,0.2
172,prod5,12,17446,1,700,Client1,9900,20,44,4,0.8,0.4
173,prod2,12,17447,7,7000,Client7,500,19,44,6,0.8,0.2
174,prod2,12,17447,7,7000,Client7,1500,19,44,6,0.6,1.0
175,prod15,12,17447,7,7000,Client7,7000,19,44,6,0.6,0.6
176,prod1,12,17448,1,700,Client8,700,23,11,6,0.4,0.8
177,prod1,12,17448,1,700,Client8,1400,23,11,6,0.4,1.0
178,prod7,12,17448,1,700,Client8,400,23,11,6,1.0,0.4
179,prod13,12,17448,1,700,Client8,800,23,11,6,0.6,0.2
180,prod11,12,17449,1,300,Client0,600,9,42,4,0.6,0.4
181,prod3,12,17449,1,300,Client0,300,9,42,4,0.2,0.6
182,prod2,12,17449,1,300,Client0,500,9,42,4,0.6,0.4
183,prod7,12,17450,1,400,Client4,400,20,57,0,0.4,0.4
184,prod1,12,17450,1,400,Client4,5600,20,57,0,0.4,0.8
185,prod6,12,17450,1,400,Client4,1800,20,57,0,0.8,0.6
186,prod5,12,17451,6,2400,Client0,900,9,0,4,0.4,0.2
187,prod2,12,17451,6,2400,Client0,3500,9,0,4,0.6,0.4
188,prod3,12,17451,6,2400,Client0,3000,9,0,4,0.8,0.0
189,prod12,12,17451,6,2400,Client0,2400,9,0,4,0.2,0.4
190,prod10,12,17452,6,2400,Client9,1000,12,54,2,0.8,0.2
191,prod1,12,17452,6,2400,Client9,7000,12,54,2,0.6,0.2
192,prod11,12,17452,6,2400,Client9,2400,12,54,2,0.6,0.2
193,prod12,12,17452,6,2400,Client9,2400,12,54,2,0.4,0.6
194,prod1,12,17453,1,700,Client8,700,12,22,2,0.2,0.4
195,prod10,12,17453,1,700,Client8,5000,12,22,2,0.4,0.2
196,prod12,12,17454,2,800,Client0,400,21,53,2,0.8,0.2
197,prod12,12,17454,2,800,Client0,800,21,53,2,0.2,0.6
198,prod1,12,17454,2,800,Client0,1400,21,53,2,0.4,0.6
199,prod15,12,17455,6,6000,Client8,1000,12,16,3,0.6,0.4
200,prod1,12,17455,6,6000,Client8,5600,12,16,3,0.8,0.6
201,prod2,12,17455,6,6000,Client8,4500,12,16,3,1.0,0.6
202,prod15,12,17455,6,6000,Client8,6000,12,16,3,0.2,0.8
203,prod15,12,17456,5,3000,Client2,1000,9,6,1,0.4,0.6
204,prod1,12,17456,5,3000,Client2,5600,9,6,1,0.8,0.4
205,prod2,12,17456,5,3000,Client2,4000,9,6,1,0.4,0.6
206,prod6,12,17456,5,3000,Client2,3000,9,6,1,0.4,0.4
207,prod9,12,17457,2,1600,Client3,100,19,29,1,0.8,0.2
208,prod4,12,17457,2,1600,Client3,1600,19,29,1,0.4,0.2
209,prod4,12,17457,2,1600,Client3,3200,19,29,1,0.8,0.6
210,prod14,12,17458,1,100,Client9,100,15,45,6,0.2,0.6
211,prod3,12,17458,1,100,Client9,2700,15,45,6,0.6,0.4
212,prod14,12,17458,1,100,Client9,400,15,45,6,0.6,0.6
213,prod1,12,17459,10,10000,Client0,700,21,3,0,0.6,0.6
214,prod14,12,17459,10,10000,Client0,600,21,3,0,0.2,0.8
215,prod10,12,17459,10,10000,Client0,9000,21,3,0,0.6,0.6
216,prod15,12,17459,10,10000,Client0,10000,21,3,0,0.2,0.6
217,prod10,12,17460,8,8000,Client9,1000,13,17,1,0.6,1.0
218,prod10,12,17460,8,8000,Client9,8000,13,17,1,0.4,0.2
219,prod15,12,17461,2,2000,Client2,1000,14,46,6,0.8,0.6
220,prod15,12,17461,2,2000,Client2,2000,14,46,6,0.8,0.4
221,prod13,12,17462,8,5600,Client4,200,11,59,6,1.0,1.0
222,prod10,12,17462,8,5600,Client4,6000,11,59,6,0.2,0.2
223,prod1,12,17462,8,5600,Client4,5600,11,59,6,0.0,0.6
224,prod10,12,17463,1,1000,Client2,1000,15,51,3,0.6,0.4
225,prod3,12,17463,1,1000,Client2,1800,15,51,3,0.6,0.6
226,prod5,12,17463,1,1000,Client2,6300,15,51,3,0.8,1.0
227,prod1,12,17463,1,1000,Client2,4200,15,51,3,0.6,0.6
228,prod3,12,17464,5,500,Client0,300,9,2,5,0.6,0.2
229,prod4,12,17464,5,500,Client0,4800,9,2,5,0.6,0.8
230,prod14,12,17464,5,500,Client0,500,9,2,5,0.4,0.4
231,prod5,12,17465,6,4800,Client2,900,14,11,4,0.8,0.6
232,prod4,12,17465,6,4800,Client2,4800,14,11,4,0.6,0.4
233,prod15,12,17466,1,1000,Client4,1000,6,58,1,0.6,0.0
234,prod4,12,17466,1,1000,Client4,8800,6,58,1,0.6,0.8
235,prod7,12,17467,11,3300,Client0,400,12,55,4,0.6,0.8
236,prod3,12,17467,11,3300,Client0,3300,12,55,4,0.2,0.6
237,prod1,12,17467,11,3300,Client0,7700,12,55,4,0.8,0.4
238,prod2,12,17468,1,500,Client9,500,12,4,2,0.8,0.8
239,prod11,12,17468,1,500,Client9,4200,12,4,2,0.6,0.8
240,prod2,12,17468,1,500,Client9,500,12,4,2,0.6,0.4
241,prod15,12,17469,8,5600,Client0,1000,16,47,0,0.6,0.4
242,prod7,12,17469,8,5600,Client0,400,16,47,0,0.6,0.4
243,prod1,12,17469,8,5600,Client0,5600,16,47,0,0.2,0.4
244,prod11,12,17469,8,5600,Client0,6000,16,47,0,0.8,0.6
245,prod1,12,17470,1,700,Client0,700,13,40,5,0.4,0.6
246,prod5,12,17470,1,700,Client0,6300,13,40,5,0.6,0.6
247,prod15,12,17471,1,1000,Client0,1000,11,12,4,0.2,0.8
248,prod15,12,17471,1,1000,Client0,1000,11,12,4,0.6,0.6
249,prod15,12,17472,1,1000,Client1,1000,17,23,1,0.4,0.2
250,prod12,12,17472,1,1000,Client1,800,17,23,1,0.8,0.8
251,prod13,12,17472,1,1000,Client1,200,17,23,1,0.4,0.6
252,prod2,12,17472,1,1000,Client1,4500,17,23,1,0.6,0.4
253,prod11,12,17473,4,3600,Client4,600,23,46,1,0.8,0.6
254,prod5,12,17473,4,3600,Client4,3600,23,46,1,0.4,0.6
255,prod7,12,17473,4,3600,Client4,800,23,46,1,0.6,0.8
256,prod15,12,17474,1,1000,Client2,1000,9,0,1,0.2,0.6
257,prod4,12,17474,1,1000,Client2,3200,9,0,1,0.6,0.6
258,prod5,12,17475,19,8300,Client4,900,17,12,5,0.4,0.6
259,prod2,12,17475,19,8300,Client4,5000,17,12,5,0.4,0.6
260,prod13,12,17475,19,8300,Client4,1200,17,12,5,0.4,0.8
261,prod3,12,17475,19,8300,Client4,2400,17,12,5,0.4,0.6
262,prod1,12,17476,3,300,Client8,700,16,30,0,0.6,0.8
263,prod14,12,17476,3,300,Client8,200,16,30,0,0.6,0.8
264,prod10,12,17476,3,300,Client8,3000,16,30,0,0.4,0.8
265,prod14,12,17476,3,300,Client8,300,16,30,0,0.2,0.8
266,prod8,12,17477,1,800,Client5,200,13,46,4,0.2,0.8
267,prod4,12,17477,1,800,Client5,800,13,46,4,0.0,0.4
268,prod13,12,17477,1,800,Client5,1000,13,46,4,0.2,0.6
269,prod8,12,17478,2,800,Client4,200,21,59,4,0.8,0.4
270,prod7,12,17478,2,800,Client4,800,21,59,4,0.6,0.2
271,prod11,12,17478,2,800,Client4,1200,21,59,4,0.8,0.6
272,prod15,12,17479,1,1000,Client8,1000,13,21,5,0.2,0.8
273,prod9,12,17479,1,1000,Client8,200,13,21,5,0.4,0.8
274,prod12,12,17479,1,1000,Client8,4000,13,21,5,0.6,0.6
275,prod3,12,17479,1,1000,Client8,2700,13,21,5,0.4,0.4
276,prod8,12,17480,1,200,Client0,200,21,27,3,0.4,0.4
277,prod10,12,17480,1,200,Client0,10000,21,27,3,0.6,0.4
278,prod1,12,17480,1,200,Client0,5600,21,27,3,0.6,0.6
279,prod3,12,17481,4,4000,Client8,300,10,55,1,0.4,0.6
280,prod5,12,17481,4,4000,Client8,900,10,55,1,0.4,0.6
281,prod15,12,17481,4,4000,Client8,4000,10,55,1,0.2,0.6
282,prod15,12,17482,10,10000,Client0,1000,12,59,5,0.4,0.2
283,prod15,12,17482,10,10000,Client0,10000,12,59,5,0.2,0.8
284,prod5,12,17483,1,100,Client3,900,21,38,4,0.6,0.8
285,prod14,12,17483,1,100,Client3,100,21,38,4,0.4,0.4
286,prod11,12,17483,1,100,Client3,1200,21,38,4,0.8,0.6
287,prod10,12,17483,1,100,Client3,4000,21,38,4,0.8,1.0
288,prod3,12,17484,1,700,Client1,300,7,44,1,1.0,0.4
289,prod1,12,17484,1,700,Client1,700,7,44,1,0.4,0.2
290,prod9,12,17484,1,700,Client1,300,7,44,1,0.6,0.8
291,prod6,12,17485,4,3600,Client8,600,15,39,1,0.4,0.6
292,prod15,12,17485,4,3600,Client8,3000,15,39,1,0.4,0.6
293,prod10,12,17485,4,3600,Client8,10000,15,39,1,0.4,0.8
294,prod14,12,17486,1,100,Client0,100,14,57,0,0.4,0.4
295,prod3,12,17486,1,100,Client0,2700,14,57,0,0.6,0.4
296,prod3,12,17486,1,100,Client0,2400,14,57,0,0.8,0.4
297,prod1,12,17487,6,3600,Client9,700,9,44,1,0.6,0.8
298,prod6,12,17487,6,3600,Client9,3600,9,44,1,0.4,0.6
299,prod11,12,17487,6,3600,Client9,3600,9,44,1,0.2,0.6
300,prod3,12,17487,6,3600,Client9,300,9,44,1,0.8,0.6
301,prod14,12,17488,3,2100,Client1,100,18,35,5,0.8,0.8
302,prod2,12,17488,3,2100,Client1,4500,18,35,5,0.6,0.6
303,prod1,12,17488,3,2100,Client1,2100,18,35,5,0.4,0.4
304,prod1,12,17489,1,700,Client8,700,11,56,3,0.4,0.6
305,prod2,12,17489,1,700,Client8,2500,11,56,3,0.6,0.6
306,prod7,12,17489,1,700,Client8,2000,11,56,3,0.6,0.2
307,prod1,12,17489,1,700,Client8,7700,11,56,3,0.6,0.8
308,prod10,12,17490,1,1000,Client8,1000,3,41,6,0.2,0.6
309,prod15,12,17490,1,1000,Client8,8000,3,41,6,0.6,0.4
310,prod9,12,17491,11,6600,Client8,100,0,19,5,0.4,0.4
311,prod2,12,17491,11,6600,Client8,4500,0,19,5,0.4,0.4
312,prod11,12,17491,11,6600,Client8,6600,0,19,5,0.2,0.4
313,prod1,12,17492,4,4000,Client0,700,10,8,0,0.6,0.6
314,prod10,12,17492,4,4000,Client0,4000,10,8,0,0.6,0.4
315,prod14,12,17493,3,1100,Client2,100,18,51,1,0.2,0.2
316,prod1,12,17493,3,1100,Client2,2800,18,51,1,0.8,0.2
317,prod2,12,17493,3,1100,Client2,1000,18,51,1,0.2,0.2
318,prod8,12,17494,7,4900,Client9,200,20,20,2,0.8,0.6
319,prod3,12,17494,7,4900,Client9,600,20,20,2,0.4,0.6
320,prod1,12,17494,7,4900,Client9,4900,20,20,2,0.4,0.4
321,prod5,12,17495,1,900,Client9,900,13,49,4,0.4,0.2
322,prod1,12,17495,1,900,Client9,4200,13,49,4,0.8,0.2
323,prod9,12,17495,1,900,Client9,1000,13,49,4,0.8,0.4
324,prod10,12,17495,1,900,Client9,5000,13,49,4,0.6,0.4
325,prod5,12,17496,10,10000,Client8,900,5,7,4,0.6,0.4
326,prod6,12,17496,10,10000,Client8,3000,5,7,4,0.4,0.4
327,prod15,12,17496,10,10000,Client8,2000,5,7,4,0.4,0.6
328,prod15,12,17496,10,10000,Client8,10000,5,7,4,0.2,0.6
329,prod13,12,17497,1,200,Client2,200,19,9,5,0.4,0.4
330,prod13,12,17497,1,200,Client2,400,19,9,5,0.6,1.0
331,prod15,12,17497,1,200,Client2,2000,19,9,5,0.6,0.6
332,prod5,12,17498,1,900,Client0,900,22,48,1,0.2,0.6
333,prod15,12,17498,1,900,Client0,5000,22,48,1,0.6,0.4
334,prod1,12,17499,4,4000,Client0,700,15,27,6,0.8,0.4
335,prod10,12,17499,4,4000,Client0,4000,15,27,6,0.4,0.4
336,prod9,12,17500,1,100,Client0,100,21,15,6,0.2,0.4
337,prod7,12,17500,1,100,Client0,1200,21,15,6,0.8,0.4
338,prod15,12,17500,1,100,Client0,11000,21,15,6,0.6,0.6
339,prod10,12,17501,1,1000,Client5,1000,11,20,4,0.2,0.8
340,prod14,12,17501,1,1000,Client5,500,11,20,4,0.4,0.6
341,prod4,12,17501,1,1000,Client5,6400,11,20,4,0.4,0.4
342,prod10,12,17501,1,1000,Client5,6000,11,20,4,0.6,0.4
343,prod5,12,17502,7,4200,Client5,900,21,38,3,0.8,0.6
344,prod14,12,17502,7,4200,Client5,100,21,38,3,1.0,0.4
345,prod6,12,17502,7,4200,Client5,4200,21,38,3,0.2,0.2
346,prod7,12,17502,7,4200,Client5,1600,21,38,3,0.6,0.4
347,prod1,12,17503,1,700,Client0,700,15,52,0,0.6,0.2
348,prod10,12,17503,1,700,Client0,1000,15,52,0,0.8,1.0
349,prod14,12,17504,5,500,Client1,100,17,20,3,0.8,0.4
350,prod13,12,17504,5,500,Client1,200,17,20,3,0.8,0.2
351,prod9,12,17504,5,500,Client1,500,17,20,3,0.6,0.2
352,prod12,12,17505,5,1000,Client0,400,14,37,4,0.8,0.4
353,prod15,12,17505,5,1000,Client0,10000,14,37,4,0.6,0.6
354,prod13,12,17505,5,1000,Client0,1000,14,37,4,0.4,0.6
355,prod2,12,17506,1,500,Client4,500,15,47,0,0.4,0.6
356,prod5,12,17506,1,500,Client4,9000,15,47,0,0.6,0.4
357,prod5,12,17506,1,500,Client4,6300,15,47,0,0.8,0.6
358,prod1,12,17507,2,600,Client0,700,16,46,1,0.6,0.2
359,prod1,12,17507,2,600,Client0,7000,16,46,1,1.0,0.6
360,prod3,12,17507,2,600,Client0,600,16,46,1,0.2,0.2
361,prod12,12,17507,2,600,Client0,1200,16,46,1,1.0,0.4
362,prod14,12,17508,1,100,Client0,100,12,38,3,0.6,0.2
363,prod15,12,17508,1,100,Client0,10000,12,38,3,1.0,0.4
364,prod9,12,17508,1,100,Client0,100,12,38,3,0.6,0.4
365,prod1,12,17509,1,600,Client3,700,1,9,3,0.6,0.4
366,prod6,12,17509,1,600,Client3,600,1,9,3,0.2,0.4
367,prod15,12,17509,1,600,Client3,5000,1,9,3,0.6,0.2
368,prod9,12,17509,1,600,Client3,1100,1,9,3,0.4,0.8
369,prod12,12,17510,1,400,Client1,400,21,53,1,0.2,0.4
370,prod10,12,17510,1,400,Client1,4000,21,53,1,0.4,0.8
371,prod12,12,17510,1,400,Client1,4000,21,53,1,0.8,1.0
372,prod7,12,17511,3,2700,Client5,400,21,38,3,0.6,0.6
373,prod5,12,17511,3,2700,Client5,2700,21,38,3,0.2,0.6
374,prod15,12,17511,3,2700,Client5,8000,21,38,3,0.4,0.4
375,prod14,12,17512,1,100,Client0,100,15,3,0,0.4,0.4
376,prod2,12,17512,1,100,Client0,5000,15,3,0,0.4,0.6
377,prod13,12,17512,1,100,Client0,1200,15,3,0,0.6,0.4
378,prod2,12,17513,4,800,Client1,500,7,11,6,0.6,0.8
379,prod4,12,17513,4,800,Client1,3200,7,11,6,0.8,0.6
380,prod13,12,17513,4,800,Client1,800,7,11,6,0.4,0.4
381,prod15,12,17514,1,1000,Client0,1000,20,29,4,0.2,0.8
382,prod4,12,17514,1,1000,Client0,5600,20,29,4,0.4,0.4
